V1	V2	V3	V4	V5	V6	V7	V8	V9
1	-0.300501150991664	-0.303272211963702	-0.00176691108000873	0.197855287966074	1.27294912962803e-05	0.000795566150246804	-6.92370955504541e-06	-0.0880078664923178	4.54168043365405e-08
2	-0.17556895530323	-0.400555574472404	-0.146454652509511	0.180107051395533	0.0960737961475382	0.0629153044114566	-0.0498567851696702	-0.076435669587394	0.0297788160392582
3	-0.305503801847689	-0.185625941075971	0.0666694184338279	0.130935621048595	0.0273857628530095	-0.024419869816274	-0.0121173516405957	-0.0473790903988798	-0.00453197248638281
4	-0.12714242745081	-0.269708176695877	-0.0639215163651742	0.0854594951668596	0.0385711987858914	0.0189153770084297	-0.0137878725463171	-0.0249827639461429	0.00757521049624628
5	-0.226401492958042	-0.201760068668103	0.0119945938964873	0.099501929543242	0.00116645749101668	-0.00382991443391459	-0.000449923450505366	-0.0313868154643444	-3.98385363961867e-05
6	-0.0569215335827421	-0.187308833495738	-0.0359862746893919	0.032363799192887	0.0322807491946167	0.00655321491443279	-0.00710112759634955	-0.00582222851279318	0.00579983192731752
7	-0.549140039353599	-0.15900747781546	0.312656338545803	0.272266194431059	0.28964769468091	-0.16513984384119	-0.184808055973929	-0.142066140323993	-0.155885282524774
8	-0.142286076811226	-0.18443221392326	-0.0155349635560034	0.0579313769741062	0.003360747995089	0.00378490458641823	-0.000989115108662789	-0.0139434671257313	0.000194829143960074
9	-0.158114917480855	-0.312271175263048	-0.0819198744379723	0.120066953344763	0.0450904310779411	0.0287335175003326	-0.0191051342807684	-0.0416040142123816	0.00957473099038811
10	-0.107467592386293	-0.241005028888004	-0.0525770641470708	0.0658926896496264	0.0338442387900355	0.0136616363469329	-0.0106232482395255	-0.0169143710251614	0.00622625818798066
11	-0.0777539856563124	-0.246435689984796	-0.0617965809608583	0.0570245816343404	0.0540251658974511	0.0149376841637891	-0.0157754270558714	-0.0136173676065778	0.0125572391028071
12	-0.453434980494303	-0.130769984985874	0.213328057403918	0.18530071844354	0.198129058675534	-0.0929553309860743	-0.104289525038875	-0.0797656033821163	-0.0881905932900143
13	-0.195928099539184	-0.214077367805325	-0.00835744076785473	0.0912364957674612	0.00061760007517415	0.00255532048705021	-0.000228110670060677	-0.0275583298938092	1.53483258304281e-05
14	-0.423487848152388	-0.175723573284518	0.168039527908826	0.194926181124663	0.116864351423833	-0.0750990271983648	-0.0630915362187031	-0.0860607767754338	-0.0399505791699539
15	-0.260749973819231	-0.30843371790145	-0.0305811878038361	0.17582627577651	0.00429095781018268	0.0129802784775123	-0.00220013887561908	-0.0737268477911023	0.000281080920218663
16	-0.124011174471357	-0.166929819253107	-0.0140914631670726	0.0459379813043	0.00348714169776483	0.00305724198093736	-0.00091392279617362	-0.00984595530525717	0.000205922779930366
